ITT,DATE_TIME,TRACKLINE,TRIP_DIRECTION,DEST_STATION,DESCRIPTION,TRKID
270,7/27/2024 12:15:55 PM,Blue,2,FRANCONIA-SPRINGFIELD,Capitol South- Track 2;  Doors open left,D05-D2-111
232,7/27/2024 12:15:55 PM,Red,2,SHADY GROVE,Medical Center- Track 2;  Doors operating manually;,A10-A2-444
321,7/27/2024 12:15:53 PM,Green,2,BRANCH AVE,Navy Yard-Ballpark- Track 2; ,F05-F2-121
260,7/27/2024 12:16:00 PM,Orange,2,VIENNA,Smithsonian- Track 2;  Doors open right,D02-D2-36
254,7/27/2024 12:16:00 PM,Yellow,1,MT VERNON SQ,,F03-F1-32
264,7/27/2024 12:16:00 PM,Silver,1,LARGO TOWN CENTER,,G03-G1-454
270,7/27/2024 12:16:00 PM,Blue,2,FRANCONIA-SPRINGFIELD,Capitol South- Track 2;  Doors open left,D05-D2-111
232,7/27/2024 12:16:00 PM,Red,2,SHADY GROVE,Medical Center- Track 2;  Doors operating manually;,A10-A2-444
321,7/27/2024 12:15:58 PM,Green,2,BRANCH AVE,Navy Yard-Ballpark- Track 2;  motion;,F05-F2-121
260,7/27/2024 12:16:05 PM,Orange,2,VIENNA,Smithsonian- Track 2; ,D02-D2-36
254,7/27/2024 12:16:05 PM,Yellow,1,MT VERNON SQ,,F03-F1-26
264,7/27/2024 12:16:05 PM,Silver,1,LARGO TOWN CENTER,,G03-G1-457
270,7/27/2024 12:16:06 PM,Blue,2,FRANCONIA-SPRINGFIELD,Capitol South- Track 2;  Doors open left,D05-D2-111
232,7/27/2024 12:16:05 PM,Red,2,SHADY GROVE,Medical Center- Track 2; ,A10-A2-450
321,7/27/2024 12:16:06 PM,Green,2,BRANCH AVE,Navy Yard-Ballpark- Track 2;  motion;,F05-F2-121
260,7/27/2024 12:16:10 PM,Orange,2,VIENNA,Smithsonian- Track 2; ,D02-D2-36
254,7/27/2024 12:16:10 PM,Yellow,1,MT VERNON SQ,,F03-F1-26
264,7/27/2024 12:16:10 PM,Silver,1,LARGO TOWN CENTER,,G03-G1-460
270,7/27/2024 12:16:11 PM,Blue,2,FRANCONIA-SPRINGFIELD,Capitol South- Track 2; ,D05-D2-111
