TRACKLINE,TRIP_DIRECTION,DESCRIPTION,STATION_POS,x,y
Orange,2,Metro Center Lower,13,-8574717.848,4707254.262
Silver,2,Smithsonian,23,-8574783.304,4705706.423
Blue,2,McPherson Square,14,-8575505.545,4707552.215
Orange,1,Smithsonian,15,-8574640.37,4705323.719
Silver,1,Smithsonian,23,-8574788.759,4705705.279
Blue,2,McPherson Square,14,-8575322.87,4707552.215
Orange,2,L Enfant Plaza Lower,16,-8574312.979,4705199.014
Blue,1,McPherson Square,14,-8575322.647,4707546.636
Orange,2,L Enfant Plaza Lower,16,-8574222.031,4705198.871
Blue,1,McPherson Square,14,-8575154.221,4707546.636
Green,1,U Street,14,-8574826.273,4709798.083
Orange,1,L Enfant Plaza Lower,16,-8574059.616,4705181.853
Silver,2,Smithsonian,23,-8574829.836,4705912.511
Blue,1,McPherson Square,14,-8575041.565,4707546.636
Blue,1,McPherson Square,14,-8574984.013,4707544.348
Orange,2,L Enfant Plaza Lower,16,-8574058.725,4705199.014
Silver,1,McPherson Square,20,-8575041.565,4707546.636
Blue,1,Metro Center Lower,15,-8574738.665,4706733.903
Red,1,Brookland,21,-8570983.413,4712098.971
Green,1,U Street,14,-8575132.847,4710009.978
Green,1,U Street,14,-8575141.975,4710278.393
Orange,1,L Enfant Plaza Lower,16,-8573882.507,4705182.139
Silver,1,McPherson Square,20,-8575154.221,4707546.636
Blue,1,Metro Center Lower,15,-8574737.774,4706804.561
Green,2,Columbia Heights,15,-8575209.101,4711048.196
Green,1,Columbia Heights,15,-8575209.212,4711607.413
Green,1,Columbia Heights,15,-8575213.776,4711292.599
Green,1,Columbia Heights,15,-8575227.357,4711467.463
Green,2,Columbia Heights,15,-8575228.137,4711291.168
Orange,1,L Enfant Plaza Lower,16,-8573744.248,4705195.01
Silver,1,McPherson Square,20,-8575322.647,4707546.636
Blue,1,Metro Center Lower,15,-8574737.106,4706867.638
Orange,2,Federal Center SW,17,-8573737.791,4705210.598
Silver,2,McPherson Square,20,-8575322.87,4707552.215
Blue,1,Metro Center Lower,15,-8574736.661,4707116.947
Silver,2,McPherson Square,20,-8575463.355,4707552.215
Blue,2,Metro Center Lower,15,-8574725.863,4707338.369
Blue,2,Metro Center Lower,15,-8574717.848,4707118.949
Orange,2,Federal Center SW,17,-8573574.152,4705229.761
Blue,2,Metro Center Lower,15,-8574717.848,4707254.262
Orange,2,Federal Center SW,17,-8573530.514,4705230.333
Silver,1,Farragut West,19,-8575764.474,4707546.779
Blue,1,Federal Triangle,16,-8574779.742,4706138.484
Orange,2,Federal Center SW,17,-8573376.448,4705230.19
Silver,1,Farragut West,19,-8575904.848,4707546.779
Red,1,Brookland,21,-8571015.362,4712241.792
Red,1,Cleveland Park,11,-8578078.027,4712349.553
Red,2,Cleveland Park,11,-8578065.225,4712356.136
Red,1,Brookland,21,-8571050.205,4712366.44
Red,1,Van Ness,10,-8578504.492,4713292.262
Blue,1,Federal Triangle,16,-8574740.001,4706303.676
Orange,2,Federal Center SW,17,-8573376.448,4705230.19
Silver,1,Farragut West,19,-8576105.334,4707546.779
Blue,1,Federal Triangle,16,-8574739.667,4706475.45
Orange,1,Federal Center SW,17,-8573375.001,4705215.746
